n1,n2,ratio,sid,RT,ACC,easyness
19.0,21.0,0.9,862316,753.0,1.0,0.6235
21.0,23.0,0.91,862316,667.0,1.0,0.6665
23.0,26.0,0.88,862316,664.0,1.0,0.668
25.0,28.0,0.89,862316,734.0,1.0,0.633
27.0,33.0,0.82,862316,653.0,0.0,-0.3265
25.0,28.0,0.89,862316,717.0,1.0,0.6415
27.0,33.0,0.82,862316,1190.0,1.0,0.405
25.0,28.0,0.89,862316,963.0,1.0,0.5185
27.0,33.0,0.82,862316,1075.0,1.0,0.4625
24.0,27.0,0.89,862316,798.0,1.0,0.601
,,,711237,,,
24.0,27.0,0.89,711237,496.0,1.0,0.752
25.0,28.0,0.89,711237,602.0,1.0,0.699
27.0,33.0,0.82,711237,645.0,1.0,0.6775
25.0,28.0,0.89,711237,502.0,1.0,0.749
27.0,33.0,0.82,711237,518.0,1.0,0.741
25.0,28.0,0.89,711237,605.0,1.0,0.6975
24.0,27.0,0.89,711237,603.0,1.0,0.6985
22.0,24.0,0.92,711237,469.0,1.0,0.7655
20.0,22.0,0.91,711237,627.0,1.0,0.6865
18.0,20.0,0.9,711237,430.0,1.0,0.785
16.0,18.0,0.89,711237,538.0,1.0,0.731
14.0,16.0,0.88,711237,416.0,1.0,0.792
12.0,13.0,0.92,711237,524.0,1.0,0.738
10.0,11.0,0.91,711237,474.0,1.0,0.763
8.0,9.0,0.89,711237,587.0,1.0,0.7065
6.0,13.0,0.46,711237,397.0,1.0,0.8015
7.0,8.0,0.88,711237,566.0,1.0,0.717
5.0,7.0,0.71,711237,460.0,0.0,-0.23
3.0,6.0,0.5,711237,432.0,1.0,0.784
1.0,4.0,0.25,711237,446.0,1.0,0.777
4.0,6.0,0.67,711237,387.0,1.0,0.8065
3.0,11.0,0.27,711237,387.0,1.0,0.8065
2.0,6.0,0.33,711237,384.0,1.0,0.808
1.0,4.0,0.25,711237,436.0,1.0,0.782
3.0,9.0,0.33,711237,645.0,1.0,0.6775
,,,606089,,,
,,,606089,,,
,,,606089,,,
14.0,16.0,0.88,606089,539.0,1.0,0.7305
15.0,17.0,0.88,606089,756.0,1.0,0.622
25.0,28.0,0.89,606089,697.0,1.0,0.6515
27.0,33.0,0.82,606089,714.0,1.0,0.643
25.0,28.0,0.89,606089,707.0,1.0,0.6465
27.0,33.0,0.82,606089,668.0,1.0,0.666
25.0,28.0,0.89,606089,607.0,1.0,0.6965
27.0,33.0,0.82,606089,652.0,0.0,-0.326
24.0,27.0,0.89,606089,1063.0,1.0,0.4685
23.0,26.0,0.88,606089,578.0,1.0,0.711
21.0,23.0,0.91,606089,854.0,1.0,0.573
19.0,21.0,0.9,606089,685.0,1.0,0.6575
17.0,19.0,0.89,606089,591.0,1.0,0.7045
15.0,17.0,0.88,606089,492.0,1.0,0.754
13.0,14.0,0.93,606089,607.0,1.0,0.6965
11.0,12.0,0.92,606089,543.0,1.0,0.7285
9.0,10.0,0.9,606089,478.0,1.0,0.761
7.0,8.0,0.88,606089,624.0,1.0,0.688
5.0,7.0,0.71,606089,553.0,1.0,0.7235
3.0,6.0,0.5,606089,493.0,1.0,0.7535
1.0,4.0,0.25,606089,507.0,1.0,0.7465
4.0,6.0,0.67,606089,397.0,1.0,0.8015
2.0,6.0,0.33,606089,394.0,1.0,0.803
3.0,11.0,0.27,606089,400.0,1.0,0.8
1.0,4.0,0.25,606089,421.0,1.0,0.7895
3.0,9.0,0.33,606089,441.0,1.0,0.7795
20.0,22.0,0.91,606089,674.0,1.0,0.663
18.0,20.0,0.9,606089,496.0,0.0,-0.248
16.0,18.0,0.89,606089,611.0,1.0,0.6945
17.0,19.0,0.89,606089,463.0,1.0,0.7685
15.0,17.0,0.88,606089,394.0,0.0,-0.197
13.0,14.0,0.93,606089,412.0,1.0,0.794
11.0,12.0,0.92,606089,415.0,1.0,0.7925
9.0,10.0,0.9,606089,402.0,1.0,0.799
7.0,8.0,0.88,606089,478.0,1.0,0.761
5.0,7.0,0.71,606089,367.0,1.0,0.8165
3.0,6.0,0.5,606089,418.0,1.0,0.791
1.0,4.0,0.25,606089,430.0,1.0,0.785
4.0,6.0,0.67,606089,410.0,1.0,0.795
3.0,11.0,0.27,606089,430.0,1.0,0.785
2.0,6.0,0.33,606089,382.0,1.0,0.809
1.0,4.0,0.25,606089,426.0,1.0,0.787
3.0,9.0,0.33,606089,479.0,1.0,0.7605
15.0,17.0,0.88,606089,1314.0,0.0,-0.657
13.0,14.0,0.93,606089,788.0,0.0,-0.394
11.0,12.0,0.92,606089,640.0,1.0,0.68
12.0,13.0,0.92,606089,645.0,1.0,0.6775
10.0,11.0,0.91,606089,683.0,0.0,-0.3415
8.0,9.0,0.89,606089,665.0,1.0,0.6675
9.0,10.0,0.9,606089,786.0,1.0,0.607
7.0,8.0,0.88,606089,505.0,0.0,-0.2525
5.0,7.0,0.71,606089,578.0,1.0,0.711
3.0,6.0,0.5,606089,437.0,1.0,0.7815
1.0,4.0,0.25,606089,499.0,1.0,0.7505
4.0,6.0,0.67,606089,436.0,1.0,0.782
3.0,11.0,0.27,606089,391.0,1.0,0.8045
2.0,6.0,0.33,606089,434.0,1.0,0.783
1.0,4.0,0.25,606089,530.0,1.0,0.735
3.0,9.0,0.33,606089,689.0,1.0,0.6555
,,,503886,,,
23.0,26.0,0.88,503886,886.0,1.0,0.557
21.0,23.0,0.91,503886,713.0,1.0,0.6435
19.0,21.0,0.9,503886,941.0,1.0,0.5295
20.0,22.0,0.91,503886,725.0,1.0,0.6375
18.0,20.0,0.9,503886,659.0,0.0,-0.3295
19.0,21.0,0.9,503886,710.0,1.0,0.645
17.0,19.0,0.89,503886,540.0,0.0,-0.27
15.0,17.0,0.88,503886,513.0,1.0,0.7435
13.0,14.0,0.93,503886,516.0,1.0,0.742
14.0,16.0,0.88,503886,503.0,1.0,0.7485
12.0,13.0,0.92,503886,498.0,0.0,-0.249
10.0,11.0,0.91,503886,498.0,1.0,0.751
8.0,9.0,0.89,503886,731.0,1.0,0.6345
6.0,8.0,0.75,503886,603.0,1.0,0.6985
